code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300560,中富通,通信设备,福建,124.63,0.67,1.58,99024.2,65956.9,9201.96,9575.73,0.61,0.048,3.43,7.02,20161101,25988.42,1.65,29.82,-16.78,27.42,5.15,13741.0
300025,华星创业,通信设备,浙江,0.0,3.89,4.29,198244.5,152689.05,3495.6,3200.53,0.07,-0.017,1.75,3.9,20091030,28023.1,0.65,-28.63,41.16,18.44,-3.17,30858.0
300735,光弘科技,通信设备,广东,24.13,1.66,4.61,229055.25,134282.13,74017.92,96979.15,2.1,0.17800000000000002,4.11,4.18,20171229,50266.87,1.09,63.55,280.49,29.96,18.63,31313.0
002384,东山精密,通信设备,江苏,29.23,11.62,16.07,2893161.25,1407635.38,962927.31,533217.63,3.32,0.124,5.4,2.68,20100409,176349.69,1.1,26.44,31.39,15.33,4.43,41632.0
300638,广和通,通信设备,深圳,37.79,0.4,1.21,104307.68,96405.13,2062.28,15457.37,1.28,0.317,4.05,11.82,20170413,21453.25,1.77,94.12,476.25,26.27,9.26,12233.0
300628,亿联网络,通信设备,福建,26.96,0.75,3.0,393043.41,378221.81,10171.55,140558.31,4.69,0.871,12.46,7.54,20170317,190419.67,6.36,29.25,32.92,65.34,48.96,12878.0
300308,中际旭创,通信设备,山东,59.36,3.05,7.14,948471.19,553844.94,154046.92,519651.16,7.28,0.139,8.98,3.69,20120410,94994.38,1.33,-37.39,-32.66,28.11,11.36,17498.0
603660,苏州科达,通信设备,江苏,36.13,3.33,5.04,264433.44,225034.8,20994.78,40444.51,0.8,0.1,3.63,3.97,20161201,112424.82,2.23,20.72,27.97,64.09,8.86,18395.0
002583,海能达,通信设备,深圳,0.0,10.47,18.37,1442491.38,702720.94,140989.22,276384.75,1.5,-0.054000000000000006,3.25,2.56,20110527,138241.86,0.75,-10.72,3.97,45.97,-9.14,38847.0
300578,会畅通讯,通信设备,上海,31.5,0.61,1.67,149657.38,62787.45,3707.53,72210.2,4.32,0.19699999999999998,5.88,4.22,20170125,9009.87,0.54,119.26,455.84,52.52,26.66,6524.0
300590,移为通信,通信设备,上海,50.98,0.97,1.61,106060.67,74024.78,9686.74,45586.53,2.82,0.16699999999999998,5.53,6.16,20170111,25138.06,1.56,79.74,371.28,42.41,20.13,13196.0
000063,中兴通讯,通信设备,深圳,37.63,34.34,41.93,13987571.0,10188720.0,909558.88,1152120.25,2.75,0.20600000000000002,5.66,5.47,19971118,784586.5,1.87,-19.34,115.95,39.97,3.89,361194.0
300098,高新兴,通信设备,广东,25.11,13.2,17.64,888194.81,452873.81,15971.42,259351.8,1.47,0.076,3.25,2.35,20100728,152667.81,0.87,25.94,10.89,32.08,13.26,56209.0
300270,中威电子,通信设备,浙江,30.76,1.51,3.03,146825.81,90740.45,25020.75,50649.94,1.67,0.06,3.47,2.13,20111012,20866.99,0.69,28.64,119.61,50.42,23.34,17053.0
