,name,mbrg,nprg,nav,targ,epsg,seg
0,四川九洲,19.8979,11023.9295,2.7704,8.3437,1122.5352,3.1063
1,海航投资,179.0924,4265.6001,10.215,-35.0114,2300.0,9.6479
2,奥赛康,974.4786,3775.0833,214.6845,241.3735,709.0909,254.06
3,阳煤化工,7.4669,3211.2865,34.7612,-0.9281,11.0606,54.8774
4,深南电A,-7.8616,3202.4641,0.6152,14.68,6.6667,0.983
5,开能健康,27.3528,3120.1104,-31.8515,-38.4215,386.6667,42.1108
6,淮北矿业,5617.4238,3108.4179999999997,1000.2844,2337.342,309.7561,876.3032
7,北汽蓝谷,42903.6125,2861.4161,6826.4031,11154.8059,18.4615,8344.1318
8,三特索道,20.1616,2736.8812,12.3428,7.1718,2325.0,16.3109
9,*ST中科,21.1433,2549.9205,2.7902,4.5132,2500.0,2.7902
10,紫天科技,84.8948,2414.8626,109.771,105.12700000000001,1514.7309,92.2303
11,冀东水泥,101.7603,1851.9170000000001,111.3834,51.0768,1242.6829,44.6667
12,中公教育,-6.412999999999999,1532.5405,52.4001,55.6249,144.4444,54.4903
13,鲁亿通,1048.1273,1530.2546,494.5314,843.5484,534.6154,494.5314
14,山西焦化,20.5835,1521.1,260.6673,81.5291,909.25,333.0119
15,科斯伍德,103.2234,1421.4935,4.9510000000000005,-4.613,500.0,4.261
16,芒果超媒,223.7747,1354.3448,230.041,432.5368,411.1111,235.8889
17,沙河股份,-30.2474,1306.2534,18.7596,25.4517,1814.8148,19.4359
18,神农科技,-61.9227,1256.2465,-31.6209,-39.891,-224.375,-1.218
19,雅戈尔,-2.0738,1151.5379,16.1804,12.9906,1187.5,15.6228
20,海越能源,86.1564,1080.6373,13.9299,-1.516,88.5714,13.7075
21,赣能股份,20.758000000000003,1045.9117,4.2184,3.5580000000000003,1024.2604,4.2184
22,国际医学,-49.7636,1039.981,59.0965,25.2662,1010.0,58.2212
23,金种子酒,1.892,1021.7235,4.2218,1.9377,1700.0,4.1922
24,兰州民百,1.1819,1004.4066,65.0813,14.4638,1005.4645,65.0813
25,长春经开,41.1596,984.9661,3.8989,-9.8719,950.5,3.9037
26,华北制药,19.5178,909.9427,4.3832,4.4621,666.6667,2.5649
27,天喻信息,23.8068,893.6133,6.1212,14.2316,347.4286,3.6671
28,德新交运,-13.6669,864.5215,57.4852,62.7533,710.0,57.7444
29,我爱我家,710.9095,818.4588,18.0628,7.2186,335.634,20.9683
30,天科股份,693.7305,808.3471,526.4063,682.6133,215.0,511.6709
31,深桑达A,-6.9952,755.3769,-3.3558,11.7282,308.48,-7.2386
32,杰瑞股份,44.2316,740.7972,5.8574,14.8323,814.2857,5.8041
33,威华股份,25.0423,724.0525,5.4675,23.9018,500.0,6.0318
34,皖能电力,9.904,706.7144,4.4319999999999995,8.8604,342.8571,-3.3443
35,濮耐股份,37.2507,654.7937,9.2266,7.417000000000001,733.3333,9.6244
36,建新股份,164.6666,653.384,60.4017,59.7238,653.0446,60.4017
37,利达光电,183.0108,640.1713,55.5633,183.1014,518.1818,66.5918
38,神马股份,4.3839999999999995,636.9098,34.3449,10.3985,880.0,25.6767
39,川润股份,9.0414,594.8114,4.8081,13.7162,600.6536,4.7929
40,帝欧家居,707.3093,589.1059,208.6224,362.1873,60.3175,209.0021
41,世纪星源,-8.4271,583.4177,12.4574,7.1881,869.6552,12.6085
42,国创高新,78.3935,561.168,6.3677,2.1158,325.0,6.5113
43,建设机械,21.765,550.6017,4.7619,21.6234,417.0391,4.7534
44,中信国安,-8.8947,538.2438,23.9192,4.6886,673.1118,36.7714
45,亚联发展,279.2043,536.8076,-14.433,3.8375,-510.9855,5.7832
46,中华企业,151.8073,527.9389,206.3825,103.2811,180.6122,280.6461
47,*ST柳化,9.75,510.3855,5519.8112,-14.3945,500.0,5566.084
48,沃施股份,-12.0276,504.3777,748.3219,1002.8651,0.0,260.249
49,圣农发展,13.6673,483.6525,23.7043,11.0107,374.0827,24.0998
50,北方股份,34.2833,477.5003,21.0937,0.6597,204.5455,9.408
51,中百集团,0.0156,474.3548,11.7453,3.2093,534.4411,13.0093
52,重庆钢铁,71.0299,459.0958,10.2815,7.6797,400.0,10.7683
53,中国联通,5.8392,452.3097,3.2317,-5.5534,602.6596,3.5091
54,维科技术,0.3417,452.1222,-1.5772,-9.0882,178.7946,-0.6058
55,温州宏丰,16.7164,442.4141,2.7657,-3.0075,150.0,3.3443
56,广电电气,-7.6578,432.8957,4.4423,2.3452,462.0253,4.4924
57,豫园股份,97.3976,420.3134,182.4057,253.5215,75.5647,158.9094
58,圣济堂,43.2526,418.1537,4.1641,-3.8632,423.1818,4.1554
59,海普瑞,80.3219,401.0496,-18.758,3.5306,369.2308,-19.9511
60,三维通信,200.7875,400.1527,29.9964,5.593999999999999,249.6491,29.0129
61,洪都航空,-4.4357,375.2636,-0.7138,1.3004,383.4112,-0.7214
62,宝钛股份,18.5581,371.1373,3.3743,5.4483,557.1142,3.4922
63,云南旅游,39.4018,364.4495,9.8423,-13.5648,581.1032,28.2703
64,青龙管业,21.4363,364.3012,2.3149,2.8327,266.6667,2.2286
65,南天信息,20.0359,351.8945,21.5801,11.597000000000001,240.2918,4.0203
66,宝新能源,52.4647,348.2804,4.4061,24.1764,320.0,4.4144
67,天山股份,12.0344,339.7344,11.0442,-7.7595,293.1894,14.272
68,恩捷股份,101.3893,336.3319,146.0505,277.9447,5.2174,131.4859
69,中航高科,-12.8554,334.0099,8.8748,8.0953,266.6667,8.6882
70,鲁信创投,-4.117,331.8455,2.3649,2.2506,316.6667,3.4002
71,大龙地产,40.9959,331.8333,3.273,18.7574,266.6667,3.3649
72,双星新材,27.6091,330.4668,4.1911,2.7892,309.882,4.1911
73,中南建设,31.2834,330.1053,18.0451,34.6792,263.8154,23.8103
74,易尚展示,53.467,329.5429,116.5353,35.1695,58.8235,104.029
75,青松股份,75.2419,322.5538,52.443000000000005,53.9421,322.5662,52.443000000000005
76,航天长峰,40.3062,322.1915,39.7875,28.7134,606.7524,35.1343
77,仙坛股份,19.1219,314.3505,17.3589,20.0913,132.1429,15.538
78,雅克科技,36.5847,312.9873,172.8166,168.407,212.74900000000002,168.8174
79,招商港口,295.0542,304.2697,1124.5531,1505.1477,-22.2506,524.8358
80,连云港,3.4461,298.7973,14.5701,22.9084,-66.6667,-0.3414
81,中京电子,63.6089,294.0608,21.9418,67.9692,266.6667,2.9443
82,希努尔,121.9914,293.3134,12.545,42.8878,106.8996,10.4511
83,风华高科,36.5109,292.6211,20.675,11.2893,307.1429,20.7973
84,丰乐种业,33.2085,292.2558,17.7817,11.3817,356.4103,17.8796
85,四通新材,487.3808,286.9506,311.2255,635.9608,74.4186,308.6448
86,中际旭创,118.7582,285.8174,19.2374,3.4594,172.0,19.2374
87,东华测试,3.6361,285.8008,2.8354,-2.6176,284.8485,2.8354
88,栖霞建设,36.9391,285.3888,-4.6626,6.2829,301.7442,-4.7028
89,盈峰环境,166.3072,284.7024,228.7965,200.262,28.125,233.7464
90,华谊集团,1.5759999999999998,283.0123,4.3223,18.7875,193.1034,8.5979
91,金钼股份,-13.9879,277.9112,2.7201,-2.1282,300.0,2.1430000000000002
92,天际股份,0.8514,277.7796,1.8277,7.0105,280.0,1.8277
93,三丰智能,186.5632,272.2274,48.4615,11.8396,168.5985,49.0592
94,东方盛虹,1558.2578,271.2981,260.9476,395.3027,36.8421,261.1806
95,新乡化纤,9.4163,270.3643,2.8288,21.5853,273.029,2.8211
96,正虹科技,-0.484,255.9947,10.292,1.8752,246.1921,10.3763
97,三盛教育,-38.9837,255.2872,4.8692,11.7053,411.1111,4.7239
98,新集能源,17.1783,254.1347,10.9047,-4.3899,1022.2222,10.6982
99,三爱富,-68.2727,250.3411,-2.0002,-52.4037,1035.6075,21.7181
100,丝路视觉,40.8919,249.1079,10.4451,36.2635,132.0476,14.7103
101,新国都,87.5093,244.7807,4.9768,6.832999999999999,79.3103,5.0258
102,二六三,11.1122,244.7707,4.1611,6.8872,175.0,5.0126
103,攀钢钒钛,60.6804,243.8484,69.4726,13.2941,258.01,71.9998
104,尚纬股份,72.2924,243.3996,-0.3063,24.0833,266.6667,-0.3063
105,东方电缆,46.6668,241.5462,9.6816,15.4513,112.5,9.4285
106,恒实科技,99.9687,240.1051,270.5718,255.3523,145.0477,296.7111
107,聚飞光电,14.1053,239.1063,4.7743,-2.0046,160.0,5.3395
108,深华发A,-25.7556,238.1559,1.0275,-2.0123,241.1765,1.0275
109,智飞生物,289.4257,235.7504,42.3269,65.8633,235.963,42.3269
110,常宝股份,53.8495,232.1792,12.2848,13.0868,188.2353,6.7668
111,创维数字,6.9996,231.9548,12.4251,10.1926,255.5556,13.2326
112,广汇能源,58.5823,231.5553,20.7875,7.8857,122.8685,30.4032
113,飞凯材料,76.2283,228.2497,13.620999999999999,19.1686,148.1481,13.7475
114,高伟达,20.6083,224.2697,11.1484,6.7526,187.5,9.9984
115,安硕信息,6.5357,220.7565,5.9968,9.5084,136.2222,6.5525
116,道森股份,40.7969,219.5383,7.3713,11.3605,204.5519,7.5956
117,酒钢宏兴,10.8418,218.3582,10.8602,-0.2089,159.6726,9.7824
118,五矿稀土,29.1845,215.3611,4.7699,9.497,233.7621,4.9448
119,新元科技,76.8907,212.5673,34.0836,-1.694,161.9048,37.3099
120,苏宁易购,30.3461,212.1973,5.4804,26.8257,220.0,2.4807
121,日发精机,95.8354,210.9385,64.2531,118.104,170.0,65.96
122,京能电力,3.8827,210.1759,3.4847,12.234000000000002,62.5,2.1618
123,华纺股份,14.5202,205.6959,1.5715,5.4538,100.0,1.4363
124,中兵红箭,3.7321,203.7511,4.4433,7.1325,188.2147,4.4358
125,上海钢联,30.3378,203.5761,13.7973,-5.3602,151.2736,16.1381
126,三毛派神,656.2569,201.2089,457.3625,583.4972,46.8235,453.9221
127,金固股份,-9.7457,199.5573,-3.1449,1.2743,77.7778,-3.3355
128,东阳光,57.5876,198.4047,92.0334,46.2714,71.4286,58.1417
129,文化长城,117.3112,197.7792,34.583,62.5813,152.9412,31.4681
130,瑞丰高材,31.9074,194.5472,17.7499,20.3094,193.3333,17.7499
131,跃岭股份,23.6099,193.1338,5.1117,7.4664,80.0,5.1117
132,华电国际,11.8448,192.7869,20.1693,4.0444,256.8182,24.5986
133,山东墨龙,50.1413,191.9103,4.2886,6.1826,131.8,3.9846
134,精工钢构,32.1121,191.2764,23.4464,15.2359,166.18,22.9691
135,均胜电子,111.162,186.3796,32.7042,67.7842,240.4762,-1.9867
136,华联股份,14.3568,185.0217,0.9641,-0.7975,62.1622,1.1757
137,四川双马,-29.4178,184.9886,-2.5535,-31.6798,237.037,19.2446
138,量子生物,262.0491,184.2007,163.8717,220.9139,150.0,169.8482
139,三一重工,45.6147,183.0376,23.2393,26.6787,189.3158,23.4818
