,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg
0,长江通信,3.7629,3.6408,286.931,-18423.0791,94.3581,5.6419,-0.2615,-0.0192,-0.1673,-0.3397,-35.9203,通信设备,湖北,34.99,1.98,1.98,206083.3,39980.55,3964.53,62163.55,3.14,0.2,9.8,2.86,20001222,71882.88,3.63,15.5,-37.26,7.55,100.8,30900.0,12.21,157.28,6.8082,232.3231,1.1733,147.7042,0.7459,1.7831,201.8956,8.5076,42.3151,0.3739,962.8243,-42.038000000000004,-9.96,21.738000000000003,17.3866,-11.3636,22.0298
1,淳中科技,12.034,11.1175,55.0949,-5491.0331,93.5467,6.4533,0.217,0.0739,0.7049,1.1457,118.5246,通信设备,北京,44.55,0.88,1.31,81488.53,61184.67,7767.61,46336.68,3.54,0.141,5.91,4.24,20180202,16039.25,1.22,-0.78,-19.55,68.3,26.17,11473.0,11.23,30.82,72.4121,84.9537,0.6486,275.5571,2.104,3.0427,118.316,1.7708,203.2979,0.6495,554.2725,10.0789,-6.7903,159.0917,144.0416,-49.2308,159.3354
2,亿联网络,14.43,13.6388,149.3025,-5369.2137,93.3182,6.6818,0.3765,0.1823,0.8028,2.728,273.9794,通信设备,福建,27.67,0.75,3.0,393043.41,378221.81,10171.55,140558.31,4.69,0.871,12.46,7.74,20170317,190419.67,6.36,29.25,32.92,65.34,48.96,12878.0,24.33,46.9,61.7882,851.4771,2.8425,1815.3594,6.0603,7.472,48.1799,3.6536,98.53299999999999,0.5608,641.9401,30.8119,44.1252,21.7589,24.0521,-32.4455,21.7589
3,亿通科技,7.8124,7.5424,322.9195,-13.6965,91.1214,8.8786,0.4745,0.1127,12.1928,1.2698,138.6293,通信设备,江苏,380.22,1.86,3.03,53635.68,34480.8,13180.84,3736.85,0.12,0.004,1.63,3.8,20110505,13089.05,0.43,-36.74,-33.6,22.81,4.85,17471.0,1.01,3.89,21.2143,4.979,0.0164,127.9346,0.4226,1.2114,297.1768,5.6794,63.387,0.3652,985.7612,-24.4999,36.1643,-2.0276,-6.789,36.3636,-2.0276
4,天孚通信,8.1147,7.516,143.7292,-2102.3009,89.6988,10.3012,0.306,0.1134,0.9959,1.101,130.7837,通信设备,江苏,39.22,1.64,1.99,123576.32,86203.8,24889.96,40573.51,2.04,0.17,5.56,4.8,20150217,44839.3,2.25,12.99,23.53,55.08,30.27,16168.0,12.65,30.6,51.2742,135.532,0.6812,442.8891,2.2262,3.9402,91.3659,3.5586,101.1634,0.6451,558.053,31.0352,24.3843,32.2669,34.3567,18.6299,32.3591
5,雷科防务,4.3023,3.5312,64.9157,-56415.1634,87.7786,12.2214,0.0253,0.0055,0.16899999999999998,0.0452,4.8131,通信设备,江苏,112.41,10.06,10.81,412438.44,181604.25,17319.26,189957.41,1.76,0.013999999999999999,3.35,1.91,20100528,62036.82,0.57,35.6,-44.73,46.11,8.85,61832.0,3.49,13.7,43.7973,136.2776,0.1195,994.0055,0.8721,1.5212,236.6553,1.4624,246.1707,0.4706,764.9809,29.566,12.3079,8.3388,10.8985,9.0909,8.1257
6,广哈通信,6.9812,5.6495,339.8827,-50.2661,87.0531,12.9469,0.0303,0.0095,0.3897,0.0731,7.5633,通信设备,广东,0.0,0.45,1.44,63073.75,55102.19,5906.46,25584.46,1.77,-0.023,3.86,5.53,20171101,13190.92,0.91,60.93,44.4,46.83,-12.9,16626.0,2.79,7.78,48.1933,15.6195,0.1083,200.7139,1.3919,1.2753,282.2865,0.9571,376.1362,0.3461,1040.1618,-23.1644,-71.7477,0.7354,1.4104,-77.0833,0.7354
7,百邦科技,5.671,5.4327,449.3406,3779.6995,85.5019,14.4981,0.0799,0.1069,1.864,0.7371,77.7119,通信设备,北京,0.0,0.48,0.82,44995.3,34571.75,561.41,21086.88,2.58,-0.059000000000000004,4.88,4.12,20180109,9219.25,1.13,-27.31,-146.6,17.25,-6.4,8633.0,6.7,4.28,23.2849,27.0289,0.3308,630.5567,7.7176,18.3003,19.6718,34.9809,10.2913,2.2491,160.064,-6.6013,-31.8059,98.7779,71.756,-64.9485,98.7779
8,光弘科技,4.9864,4.8105,103.6911,8689.2077,85.3855,14.6145,0.1358,0.1019,0.7923,0.6974,86.4687,通信设备,广东,24.13,1.66,4.61,229055.25,134282.13,74017.92,96979.15,2.1,0.17800000000000002,4.11,4.18,20171229,50266.87,1.09,63.55,280.49,29.96,18.63,31313.0,15.07,17.1,31.9115,273.3183,0.7706,1598.0875,4.5057,5.5106,65.3286,28.3291,12.7078,1.2761,282.1096,25.4275,57.3249,12.78,14.2222,18.4615,12.7778
9,会畅通讯,4.9499,4.9444,354.9211,-404.3479,84.2833,15.7167,0.1785,0.1066,2.4737,0.6782,74.2729,通信设备,上海,31.92,0.61,1.67,149657.38,62787.45,3707.53,72210.2,4.32,0.19699999999999998,5.88,4.28,20170125,9009.87,0.54,119.26,455.84,52.52,26.66,6524.0,5.11,7.21,47.0886,16.1307,0.1218,223.50599999999997,1.6879,3.2919,109.3593,219.7709,1.6381,0.8457,425.6829,-16.3358,-52.9048,9.5227,4.3069,-63.2653,9.5227
